經度,緯度,屋齡,面積,建物類型,用途,樓別/樓高,佈局,電梯,管理員,車位數量,價格,行政區,交易年份
120.70170031878807,24.248566602776947,31,32.49,住宅大樓(11層含以上有電梯),住家用,六層/十六層,3房2廳2衛,有,有,1,"7,500,000",豐原區,113
120.71846784646226,24.25448560497062,16,37.74,住宅大樓(11層含以上有電梯),住家用,九層/十二層,3房2廳2衛,有,有,1,"11,000,000",豐原區,113
120.72213099177493,24.254663888778925,20,84.07,住宅大樓(11層含以上有電梯),住家用,十二層/十四層,4房2廳3衛,有,有,1,"18,300,000",豐原區,113
120.7286714894172,24.254061700845636,30,29.93,華廈(10層含以下有電梯),住家用,九層/九層,3房2廳2衛,有,有,1,"8,000,000",豐原區,113
120.7228969194419,24.255694608255276,7,43.45,住宅大樓(11層含以上有電梯),住家用,十二層/十二層,2房2廳2衛,有,有,1,"14,200,000",豐原區,113
120.72311142337166,24.26123894126858,28,12.83,住宅大樓(11層含以上有電梯),住家用,十四層/二十層,1房1廳1衛,有,有,1,"2,300,000",豐原區,113
120.72315102537232,24.247496547652702,18,67.08,住宅大樓(11層含以上有電梯),住家用,五層/十四層,4房2廳2衛,有,有,1,"22,800,000",豐原區,113
120.72561967043582,24.25354156592176,5,46.97,住宅大樓(11層含以上有電梯),住家用,十層/十二層,3房2廳2衛,有,有,1,"15,000,000",豐原區,113
120.72795327141492,24.249103381590615,19,51.53,住宅大樓(11層含以上有電梯),住家用,十八層/二十二層,5房2廳2衛,有,有,1,"13,200,000",豐原區,113
120.713859391192,24.254260298621215,11,42.66,住宅大樓(11層含以上有電梯),住家用,十二層/十四層,2房2廳2衛,有,有,1,"12,500,000",豐原區,113
120.72574085973771,24.25672909961711,14,28.42,華廈(10層含以下有電梯),辦公用,二層/九層,3房2廳2衛,有,有,1,"8,600,000",豐原區,113
120.72671184462708,24.25399499092897,28,31.06,華廈(10層含以下有電梯),住家用,十層/十層,2房1廳1衛,有,有,1,"5,200,000",豐原區,113
120.71514173391444,24.25774797144366,1,46.29,住宅大樓(11層含以上有電梯),住家用,十三層/十五層,3房2廳2衛,有,有,1,"17,890,000",豐原區,113
120.72795327141492,24.249103381590615,19,68.19,住宅大樓(11層含以上有電梯),住家用,七層/二十二層,4房2廳2衛,有,有,1,"15,000,000",豐原區,113
120.72178388345995,24.24219390676759,8,46.10,住宅大樓(11層含以上有電梯),住家用,七層/十一層,3房2廳2衛,有,有,1,"15,000,000",豐原區,113
120.71831196817101,24.267126180528752,2,34.94,透天厝,住家用,全/三層,3房2廳4衛,無,無,0,"15,600,000",豐原區,113
120.70807686677979,24.250664714938228,24,35.29,住宅大樓(11層含以上有電梯),住家用,十五層/十六層,3房2廳2衛,有,有,0,"8,800,000",豐原區,113
120.71923044137132,24.239074134330696,35,57.20,透天厝,住商用,全/三層,5房3廳3衛,無,無,0,"17,600,000",豐原區,113
120.73489981999464,24.270993414497788,40,41.60,透天厝,農業用,全/一層,6房3廳2衛,無,無,0,"33,200,000",豐原區,113
120.72252135971024,24.251766225845174,27,16.47,住宅大樓(11層含以上有電梯),住家用,五層/十三層,1房1廳1衛,有,有,0,"2,750,000",豐原區,113
